client_id,age,job,marital,education,credit_default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
1,95,admin.,single,basic.4y,no,unknown,unknown,telephone,may,22,960,6,436,752,nonexistent,-1,94,-39,3,5366,yes
2,22,unemployed,married,basic.9y,no,unknown,yes,telephone,mar,9,319,4,163,229,nonexistent,0,92,-41,1,5660,yes
3,97,unemployed,married,basic.4y,unknown,unknown,no,cellular,sep,9,181,8,496,655,failure,2,93,-38,0,5082,no
4,69,unknown,unknown,basic.4y,yes,unknown,yes,telephone,sep,8,883,3,847,597,success,-2,92,-31,0,5779,no
5,34,blue-collar,unknown,basic.4y,no,unknown,unknown,telephone,mar,16,410,1,267,278,success,2,93,-31,0,5341,yes
6,77,admin.,married,basic.9y,no,yes,yes,cellular,may,17,211,3,430,641,nonexistent,0,94,-35,3,5728,no
7,31,unemployed,single,basic.4y,no,yes,unknown,telephone,may,15,73,1,307,610,failure,-3,92,-48,3,5312,no
8,71,blue-collar,unknown,basic.4y,unknown,unknown,yes,cellular,mar,30,688,7,39,937,failure,-3,93,-43,0,5184,no
9,46,admin.,single,unknown,unknown,unknown,no,telephone,mar,17,88,1,430,261,failure,-3,94,-44,4,5842,yes
10,43,blue-collar,unknown,basic.4y,no,unknown,no,cellular,sep,2,828,1,476,155,success,1,93,-40,1,5719,yes
11,36,admin.,married,basic.4y,yes,no,unknown,telephone,may,23,113,1,131,601,nonexistent,0,92,-44,2,5335,no
12,98,blue-collar,unknown,basic.4y,yes,unknown,no,telephone,may,7,852,1,141,441,failure,-3,93,-46,0,5102,no
13,83,admin.,married,unknown,unknown,yes,no,cellular,mar,10,110,5,952,124,failure,1,94,-42,0,5415,yes
14,59,unemployed,unknown,basic.9y,no,no,unknown,cellular,mar,2,333,3,260,426,failure,-1,94,-38,2,5226,yes
15,98,admin.,married,unknown,no,no,yes,cellular,sep,25,914,7,492,73,failure,-2,93,-32,0,5814,no
16,99,admin.,married,basic.9y,no,unknown,yes,telephone,may,9,851,2,903,830,failure,-3,92,-40,3,5432,no
17,44,unemployed,single,unknown,no,no,no,cellular,mar,28,533,2,34,584,nonexistent,-3,94,-38,1,5121,no
18,42,blue-collar,married,unknown,yes,unknown,no,cellular,mar,18,93,3,885,69,failure,1,94,-47,0,5151,yes
19,69,blue-collar,single,basic.9y,no,unknown,unknown,telephone,may,11,839,9,872,856,nonexistent,-3,92,-38,2,5259,yes
20,32,blue-collar,married,basic.9y,unknown,yes,unknown,telephone,may,27,411,6,13,164,nonexistent,2,93,-49,4,5605,no
21,29,unemployed,married,basic.4y,unknown,yes,no,cellular,sep,4,42,8,677,599,failure,2,93,-41,1,5535,yes
22,22,unemployed,unknown,unknown,no,yes,unknown,telephone,mar,4,766,4,464,549,failure,2,93,-45,2,5488,yes
23,86,unknown,single,basic.4y,unknown,unknown,unknown,cellular,may,19,912,5,605,620,nonexistent,0,94,-47,2,5027,no
24,88,unknown,married,basic.9y,no,no,yes,telephone,may,13,176,5,694,48,success,2,93,-40,3,5925,no
25,37,blue-collar,unknown,basic.4y,unknown,unknown,unknown,telephone,may,10,608,8,279,769,nonexistent,0,93,-43,0,5874,yes
26,84,unemployed,single,basic.9y,yes,yes,yes,cellular,mar,16,687,1,355,876,nonexistent,-2,93,-44,1,5597,no
27,38,admin.,married,basic.9y,unknown,unknown,unknown,cellular,may,11,540,1,328,705,nonexistent,0,93,-39,3,5681,no
28,45,unemployed,single,basic.4y,unknown,no,unknown,telephone,sep,9,900,2,492,718,failure,2,94,-43,1,5669,no
29,97,admin.,married,basic.4y,no,no,no,cellular,mar,5,356,7,771,135,failure,-1,94,-50,4,5007,no
30,73,unemployed,single,unknown,no,unknown,no,telephone,may,15,713,3,816,639,failure,-2,94,-35,1,5483,yes
31,96,admin.,single,basic.9y,yes,unknown,unknown,cellular,mar,29,194,8,72,349,nonexistent,1,93,-40,3,5260,yes
32,64,admin.,single,basic.9y,unknown,yes,unknown,telephone,may,14,474,7,722,373,nonexistent,0,92,-36,3,5177,yes
33,27,unemployed,married,basic.9y,no,unknown,no,telephone,sep,15,543,3,540,990,failure,2,92,-47,1,5947,no
34,40,admin.,married,unknown,unknown,yes,no,cellular,mar,4,151,3,538,44,failure,1,92,-36,2,5964,no
35,97,admin.,single,basic.4y,yes,no,no,telephone,sep,2,74,6,551,236,success,-1,92,-44,2,5142,yes
36,64,unknown,single,basic.9y,no,yes,unknown,telephone,mar,11,688,3,562,661,failure,2,92,-39,2,5857,no
37,73,unemployed,single,basic.9y,unknown,no,unknown,telephone,may,1,780,3,385,93,success,1,93,-39,4,5244,no
38,51,blue-collar,single,basic.9y,unknown,unknown,unknown,telephone,may,26,504,5,463,404,success,-1,94,-43,3,5814,no
39,40,blue-collar,married,basic.4y,unknown,no,yes,cellular,may,28,667,6,456,428,nonexistent,-3,92,-39,3,5572,no
40,93,unemployed,single,unknown,no,no,unknown,telephone,sep,24,220,8,373,94,success,-2,93,-35,0,5229,yes
41,33,unemployed,married,basic.4y,unknown,no,no,cellular,sep,29,411,7,605,218,success,-2,94,-33,2,5907,yes
42,65,admin.,single,basic.9y,unknown,no,no,cellular,mar,9,647,4,762,804,failure,0,94,-39,2,5439,no
43,45,unemployed,married,basic.4y,yes,no,unknown,cellular,sep,13,606,1,394,863,success,-1,94,-37,3,5745,yes
44,43,admin.,single,basic.9y,no,unknown,unknown,cellular,mar,6,215,1,31,156,nonexistent,-3,94,-45,0,5167,no
45,23,unemployed,married,unknown,unknown,no,yes,cellular,may,24,470,5,286,481,success,-2,93,-41,4,5697,yes
46,30,unknown,unknown,unknown,no,no,yes,telephone,sep,12,325,4,15,285,success,1,92,-48,4,5040,yes
47,39,admin.,married,basic.4y,yes,yes,yes,cellular,may,10,437,3,717,697,nonexistent,-3,92,-34,3,5994,yes
48,70,unemployed,single,unknown,yes,unknown,no,telephone,may,5,869,8,254,929,success,0,93,-38,0,5470,yes
49,42,blue-collar,single,basic.9y,no,yes,yes,telephone,sep,28,718,7,763,540,success,1,93,-33,2,5513,yes
50,44,unknown,unknown,basic.4y,unknown,unknown,no,telephone,may,2,166,2,73,812,success,-3,92,-49,2,5009,yes
51,43,blue-collar,married,unknown,no,no,no,telephone,may,21,223,4,793,853,nonexistent,-2,92,-47,4,5748,no
52,81,unknown,single,basic.4y,yes,no,unknown,telephone,sep,24,78,1,655,510,success,-2,93,-50,0,5583,no
53,44,admin.,unknown,basic.9y,unknown,no,unknown,cellular,sep,20,126,1,37,89,nonexistent,0,94,-38,2,5582,yes
54,79,blue-collar,married,unknown,yes,no,yes,cellular,sep,14,621,9,992,390,success,2,93,-31,1,5155,yes
55,98,blue-collar,unknown,basic.4y,unknown,no,unknown,telephone,sep,13,126,1,683,722,success,1,92,-45,1,5767,yes
56,88,unemployed,married,unknown,yes,no,unknown,cellular,may,20,984,2,151,352,failure,1,94,-47,3,5718,yes
57,93,blue-collar,unknown,unknown,yes,no,yes,cellular,sep,13,935,7,616,50,failure,-3,92,-41,0,5373,yes
58,72,blue-collar,single,basic.4y,unknown,no,yes,cellular,sep,3,103,2,440,429,success,-2,93,-42,0,5175,yes
59,36,unknown,single,basic.9y,no,yes,unknown,cellular,sep,30,871,8,981,519,success,1,93,-49,0,5935,no
60,94,unknown,single,basic.4y,no,yes,no,cellular,may,12,162,7,55,991,nonexistent,-2,93,-50,1,5418,no
61,37,admin.,married,basic.9y,yes,no,unknown,cellular,mar,17,509,7,813,530,success,-2,92,-34,2,5075,yes
62,30,unknown,married,basic.9y,yes,unknown,yes,cellular,mar,25,607,8,115,612,success,-2,93,-45,2,5315,no
63,82,admin.,married,basic.4y,yes,no,unknown,cellular,mar,1,421,4,982,849,success,0,94,-40,3,5120,yes
64,36,blue-collar,married,basic.4y,no,unknown,no,cellular,sep,6,930,2,335,64,nonexistent,-3,94,-33,3,5345,yes
65,94,admin.,single,basic.4y,yes,yes,unknown,telephone,may,5,610,6,392,465,nonexistent,-2,94,-46,2,5412,yes
66,27,unknown,single,basic.9y,no,no,no,cellular,sep,25,541,3,183,474,failure,0,93,-47,0,5319,yes
67,91,admin.,single,basic.4y,no,unknown,yes,telephone,mar,24,489,4,588,379,nonexistent,-1,92,-31,2,5761,no
68,42,unknown,married,unknown,unknown,yes,unknown,cellular,mar,12,916,6,619,847,failure,-1,92,-32,3,5685,yes
69,78,admin.,married,unknown,no,unknown,unknown,telephone,mar,27,324,7,954,451,nonexistent,2,92,-47,2,5430,no
70,53,admin.,married,unknown,yes,no,unknown,cellular,mar,14,303,2,187,367,failure,-3,94,-44,1,5900,yes
71,92,blue-collar,married,basic.4y,unknown,unknown,unknown,cellular,mar,26,742,7,739,976,failure,-3,92,-31,0,5622,no
72,27,unemployed,unknown,basic.9y,yes,unknown,yes,telephone,mar,14,685,4,276,280,nonexistent,-2,94,-32,1,5917,no
73,64,unknown,unknown,unknown,unknown,unknown,no,telephone,mar,23,913,6,469,386,nonexistent,0,93,-49,0,5904,yes
74,55,admin.,single,basic.9y,no,no,unknown,telephone,sep,25,188,6,221,14,nonexistent,-2,94,-42,1,5965,no
75,72,unknown,married,basic.9y,yes,no,yes,cellular,may,14,237,3,158,513,success,-1,93,-44,2,5817,yes
76,77,unemployed,married,unknown,no,yes,unknown,telephone,may,21,343,5,584,727,nonexistent,-1,93,-45,0,5330,yes
77,55,admin.,married,basic.4y,unknown,no,no,cellular,mar,22,987,4,280,206,failure,-3,92,-42,0,5272,no
