client_id,contact,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
1,telephone,960,6,436,752,,yes,1,2022-05-22
2,telephone,319,4,163,229,,yes,1,2022-03-09
3,cellular,181,8,496,655,0.0,no,1,2022-09-09
4,telephone,883,3,847,597,1.0,no,1,2022-09-08
5,telephone,410,1,267,278,1.0,yes,1,2022-03-16
6,cellular,211,3,430,641,,no,1,2022-05-17
7,telephone,73,1,307,610,0.0,no,1,2022-05-15
8,cellular,688,7,39,937,0.0,no,1,2022-03-30
9,telephone,88,1,430,261,0.0,yes,1,2022-03-17
10,cellular,828,1,476,155,1.0,yes,1,2022-09-02
11,telephone,113,1,131,601,,no,1,2022-05-23
12,telephone,852,1,141,441,0.0,no,1,2022-05-07
13,cellular,110,5,952,124,0.0,yes,1,2022-03-10
14,cellular,333,3,260,426,0.0,yes,1,2022-03-02
15,cellular,914,7,492,73,0.0,no,1,2022-09-25
16,telephone,851,2,903,830,0.0,no,1,2022-05-09
17,cellular,533,2,34,584,,no,1,2022-03-28
18,cellular,93,3,885,69,0.0,yes,1,2022-03-18
19,telephone,839,9,872,856,,yes,1,2022-05-11
20,telephone,411,6,13,164,,no,1,2022-05-27
21,cellular,42,8,677,599,0.0,yes,1,2022-09-04
22,telephone,766,4,464,549,0.0,yes,1,2022-03-04
23,cellular,912,5,605,620,,no,1,2022-05-19
24,telephone,176,5,694,48,1.0,no,1,2022-05-13
25,telephone,608,8,279,769,,yes,1,2022-05-10
26,cellular,687,1,355,876,,no,1,2022-03-16
27,cellular,540,1,328,705,,no,1,2022-05-11
28,telephone,900,2,492,718,0.0,no,1,2022-09-09
29,cellular,356,7,771,135,0.0,no,1,2022-03-05
30,telephone,713,3,816,639,0.0,yes,1,2022-05-15
31,cellular,194,8,72,349,,yes,1,2022-03-29
32,telephone,474,7,722,373,,yes,1,2022-05-14
33,telephone,543,3,540,990,0.0,no,1,2022-09-15
34,cellular,151,3,538,44,0.0,no,1,2022-03-04
35,telephone,74,6,551,236,1.0,yes,1,2022-09-02
36,telephone,688,3,562,661,0.0,no,1,2022-03-11
37,telephone,780,3,385,93,1.0,no,1,2022-05-01
38,telephone,504,5,463,404,1.0,no,1,2022-05-26
39,cellular,667,6,456,428,,no,1,2022-05-28
40,telephone,220,8,373,94,1.0,yes,1,2022-09-24
41,cellular,411,7,605,218,1.0,yes,1,2022-09-29
42,cellular,647,4,762,804,0.0,no,1,2022-03-09
43,cellular,606,1,394,863,1.0,yes,1,2022-09-13
44,cellular,215,1,31,156,,no,1,2022-03-06
45,cellular,470,5,286,481,1.0,yes,1,2022-05-24
46,telephone,325,4,15,285,1.0,yes,1,2022-09-12
47,cellular,437,3,717,697,,yes,1,2022-05-10
48,telephone,869,8,254,929,1.0,yes,1,2022-05-05
49,telephone,718,7,763,540,1.0,yes,1,2022-09-28
50,telephone,166,2,73,812,1.0,yes,1,2022-05-02
51,telephone,223,4,793,853,,no,1,2022-05-21
52,telephone,78,1,655,510,1.0,no,1,2022-09-24
53,cellular,126,1,37,89,,yes,1,2022-09-20
54,cellular,621,9,992,390,1.0,yes,1,2022-09-14
55,telephone,126,1,683,722,1.0,yes,1,2022-09-13
56,cellular,984,2,151,352,0.0,yes,1,2022-05-20
57,cellular,935,7,616,50,0.0,yes,1,2022-09-13
58,cellular,103,2,440,429,1.0,yes,1,2022-09-03
59,cellular,871,8,981,519,1.0,no,1,2022-09-30
60,cellular,162,7,55,991,,no,1,2022-05-12
61,cellular,509,7,813,530,1.0,yes,1,2022-03-17
62,cellular,607,8,115,612,1.0,no,1,2022-03-25
63,cellular,421,4,982,849,1.0,yes,1,2022-03-01
64,cellular,930,2,335,64,,yes,1,2022-09-06
65,telephone,610,6,392,465,,yes,1,2022-05-05
66,cellular,541,3,183,474,0.0,yes,1,2022-09-25
67,telephone,489,4,588,379,,no,1,2022-03-24
68,cellular,916,6,619,847,0.0,yes,1,2022-03-12
69,telephone,324,7,954,451,,no,1,2022-03-27
70,cellular,303,2,187,367,0.0,yes,1,2022-03-14
71,cellular,742,7,739,976,0.0,no,1,2022-03-26
72,telephone,685,4,276,280,,no,1,2022-03-14
73,telephone,913,6,469,386,,yes,1,2022-03-23
74,telephone,188,6,221,14,,no,1,2022-09-25
75,cellular,237,3,158,513,1.0,yes,1,2022-05-14
76,telephone,343,5,584,727,,yes,1,2022-05-21
77,cellular,987,4,280,206,0.0,no,1,2022-03-22
78,telephone,539,9,410,981,0.0,yes,1,2022-05-17
79,telephone,211,2,88,712,0.0,no,1,2022-05-10
80,telephone,123,1,309,956,,no,1,2022-03-04
81,telephone,386,5,483,801,0.0,no,1,2022-09-14
82,cellular,468,6,330,566,,no,1,2022-05-13
83,telephone,525,6,701,117,0.0,yes,1,2022-09-20
84,telephone,343,8,412,397,1.0,yes,1,2022-05-05
85,cellular,624,1,943,58,0.0,no,1,2022-03-13
86,cellular,3,4,970,410,1.0,no,1,2022-09-25
87,telephone,17,1,814,990,1.0,yes,1,2022-09-26
88,cellular,658,1,90,262,,yes,1,2022-03-03
89,cellular,907,3,220,387,1.0,yes,1,2022-05-04
90,telephone,845,4,367,336,,yes,1,2022-05-25
91,telephone,785,1,689,200,0.0,no,1,2022-03-03
92,cellular,618,3,285,162,0.0,yes,1,2022-05-11
93,cellular,911,9,703,60,,yes,1,2022-05-11
94,cellular,373,4,655,399,,no,1,2022-09-08
95,cellular,144,1,213,431,,no,1,2022-03-08
96,telephone,354,3,214,881,0.0,no,1,2022-03-01
97,telephone,907,5,685,124,,no,1,2022-05-01
98,cellular,653,1,214,556,0.0,yes,1,2022-05-07
99,cellular,729,6,337,592,,yes,1,2022-05-30
100,telephone,718,4,226,798,1.0,yes,1,2022-09-12
101,cellular,289,5,431,359,1.0,no,1,2022-03-23
102,cellular,315,1,129,854,1.0,yes,1,2022-09-03
103,telephone,840,5,763,658,1.0,no,1,2022-09-21
104,cellular,750,9,475,181,1.0,no,1,2022-03-14
105,cellular,153,3,418,453,0.0,no,1,2022-05-03
106,telephone,681,6,608,84,,yes,1,2022-03-16
107,cellular,102,5,526,224,,no,1,2022-05-25
108,telephone,671,6,48,716,1.0,no,1,2022-03-14
109,telephone,602,2,404,178,1.0,no,1,2022-09-07
110,cellular,409,2,195,724,,no,1,2022-09-04
111,cellular,884,7,964,775,1.0,yes,1,2022-05-13
112,telephone,712,9,878,844,1.0,yes,1,2022-05-05
113,telephone,422,5,83,501,0.0,no,1,2022-09-16
114,cellular,363,7,154,634,0.0,no,1,2022-03-18
115,cellular,487,8,52,216,,no,1,2022-09-17
116,cellular,10,1,61,252,0.0,no,1,2022-09-17
117,telephone,841,2,871,679,,no,1,2022-09-20
118,telephone,57,5,401,719,,no,1,2022-05-21
119,cellular,640,1,637,555,1.0,no,1,2022-05-25
120,telephone,880,5,552,748,1.0,no,1,2022-05-02
121,telephone,805,4,637,365,,yes,1,2022-05-30
122,telephone,820,2,1,978,0.0,yes,1,2022-03-21
123,cellular,147,3,603,980,1.0,no,1,2022-03-02
124,telephone,903,6,433,804,,no,1,2022-03-12
125,telephone,723,8,545,33,0.0,yes,1,2022-03-17
126,telephone,427,9,913,978,,no,1,2022-09-17
127,telephone,514,3,981,28,0.0,no,1,2022-09-26
128,telephone,666,8,0,96,,yes,1,2022-03-03
129,cellular,657,7,18,441,0.0,yes,1,2022-05-05
130,cellular,246,2,672,16,,yes,1,2022-05-18
131,cellular,798,3,192,890,0.0,no,1,2022-09-26
132,telephone,739,7,832,935,0.0,yes,1,2022-05-13
133,telephone,930,1,124,555,,no,1,2022-03-20
134,telephone,314,1,729,911,,no,1,2022-05-08
135,telephone,56,6,859,916,1.0,yes,1,2022-05-08
136,telephone,590,3,759,329,,no,1,2022-03-29
137,telephone,959,4,240,274,,no,1,2022-03-02
138,telephone,286,4,11,651,,yes,1,2022-05-28
139,cellular,225,6,749,980,0.0,yes,1,2022-05-24
140,telephone,64,3,202,255,0.0,no,1,2022-03-30
141,cellular,300,5,188,813,1.0,no,1,2022-09-19
142,telephone,710,3,486,467,1.0,yes,1,2022-03-10
143,cellular,812,1,639,732,,yes,1,2022-09-12
144,cellular,987,4,479,850,1.0,no,1,2022-05-20
145,cellular,626,1,602,348,,no,1,2022-09-20
146,telephone,324,4,580,131,,no,1,2022-03-29
147,telephone,723,8,710,725,1.0,no,1,2022-03-23
148,telephone,93,7,521,680,0.0,no,1,2022-09-11
149,cellular,30,3,553,51,1.0,yes,1,2022-05-18
150,cellular,527,9,269,790,1.0,no,1,2022-03-11
151,cellular,612,4,555,970,0.0,no,1,2022-09-28
152,telephone,655,5,349,369,0.0,no,1,2022-03-17
153,telephone,651,9,838,994,,no,1,2022-03-04
154,cellular,58,8,542,815,0.0,no,1,2022-03-29
155,telephone,160,6,36,938,,yes,1,2022-05-21
156,cellular,411,8,909,480,1.0,no,1,2022-09-04
157,telephone,179,6,488,962,,yes,1,2022-05-29
158,telephone,737,8,286,115,,no,1,2022-09-15
159,telephone,308,9,820,719,1.0,no,1,2022-09-02
160,cellular,505,1,364,60,,yes,1,2022-09-07
161,telephone,364,7,962,209,0.0,no,1,2022-03-02
162,cellular,988,1,336,941,1.0,yes,1,2022-03-14
163,telephone,694,3,135,999,,no,1,2022-03-25
164,cellular,526,8,793,963,0.0,yes,1,2022-03-20
165,telephone,480,8,985,742,,no,1,2022-03-26
166,cellular,838,2,7,387,0.0,no,1,2022-05-23
167,telephone,580,1,145,742,,no,1,2022-05-27
168,telephone,792,7,94,199,0.0,yes,1,2022-09-26
169,cellular,238,4,283,271,1.0,no,1,2022-09-19
170,cellular,84,9,733,468,,no,1,2022-03-08
171,telephone,728,7,298,439,,no,1,2022-05-22
172,telephone,848,2,671,824,1.0,no,1,2022-03-05
173,telephone,500,7,969,771,,no,1,2022-05-01
174,cellular,339,2,140,868,,no,1,2022-03-05
175,telephone,345,9,799,751,0.0,no,1,2022-03-14
176,telephone,859,9,875,862,1.0,no,1,2022-03-23
177,telephone,366,3,232,720,0.0,no,1,2022-03-25
178,cellular,158,8,367,942,,yes,1,2022-09-12
179,cellular,659,3,291,290,0.0,no,1,2022-03-08
180,cellular,657,6,311,310,,yes,1,2022-05-25
181,cellular,123,2,417,333,1.0,yes,1,2022-03-02
182,cellular,87,8,558,2,,yes,1,2022-09-29
183,cellular,532,5,64,493,,no,1,2022-09-02
184,cellular,186,7,978,442,0.0,no,1,2022-09-29
185,telephone,890,7,455,923,1.0,yes,1,2022-05-10
186,telephone,608,6,943,376,1.0,yes,1,2022-05-08
187,cellular,706,9,315,825,1.0,yes,1,2022-09-29
188,telephone,882,3,991,116,,no,1,2022-09-15
189,cellular,470,6,45,457,0.0,no,1,2022-09-04
190,cellular,355,8,422,978,,yes,1,2022-03-25
191,cellular,705,9,968,470,1.0,yes,1,2022-09-08
192,telephone,373,3,452,841,0.0,yes,1,2022-03-18
193,telephone,903,7,715,159,1.0,yes,1,2022-05-05
194,cellular,393,7,836,385,,no,1,2022-09-19
195,telephone,740,5,982,78,,no,1,2022-03-03
196,telephone,536,1,322,281,0.0,yes,1,2022-09-06
197,telephone,37,9,417,727,1.0,no,1,2022-05-12
198,cellular,97,2,325,604,1.0,yes,1,2022-03-29
199,cellular,232,4,889,429,0.0,yes,1,2022-03-23
200,telephone,63,4,538,109,1.0,no,1,2022-05-04
201,telephone,97,1,28,245,1.0,no,1,2022-03-24
202,telephone,872,6,762,126,0.0,no,1,2022-09-28
203,telephone,973,7,636,22,1.0,no,1,2022-03-03
204,cellular,561,2,387,497,1.0,yes,1,2022-03-09
205,cellular,824,3,190,997,0.0,no,1,2022-09-07
206,cellular,248,9,156,776,1.0,no,1,2022-09-21
207,cellular,104,3,682,696,0.0,yes,1,2022-03-05
208,telephone,710,2,462,483,0.0,no,1,2022-05-18
209,cellular,217,6,479,50,,yes,1,2022-05-23
210,telephone,70,1,106,719,,no,1,2022-09-01
211,cellular,980,5,596,426,,yes,1,2022-03-22
212,telephone,675,2,350,509,,no,1,2022-09-27
213,cellular,649,2,615,21,0.0,no,1,2022-05-03
214,telephone,411,9,439,392,1.0,no,1,2022-05-24
215,cellular,850,9,242,525,0.0,no,1,2022-09-15
216,cellular,91,2,358,396,,no,1,2022-09-23
217,telephone,404,4,431,275,0.0,yes,1,2022-05-09
218,cellular,105,9,728,652,,yes,1,2022-05-19
219,telephone,705,8,1,986,,yes,1,2022-05-25
220,telephone,207,3,303,262,,no,1,2022-03-12
221,telephone,914,7,856,795,1.0,yes,1,2022-05-23
222,telephone,685,9,613,146,0.0,no,1,2022-05-17
223,telephone,264,2,65,699,1.0,no,1,2022-03-17
224,telephone,343,2,429,592,0.0,yes,1,2022-05-14
225,telephone,521,2,149,762,,yes,1,2022-05-06
226,cellular,104,8,152,119,1.0,yes,1,2022-05-05
227,telephone,118,2,198,968,0.0,no,1,2022-05-23
228,telephone,787,6,701,459,1.0,no,1,2022-05-19
229,telephone,640,4,383,701,,no,1,2022-09-29
230,telephone,664,6,398,257,0.0,no,1,2022-09-22
231,cellular,515,8,473,126,,yes,1,2022-05-19
232,cellular,566,2,488,235,0.0,no,1,2022-09-07
233,cellular,752,9,317,500,1.0,no,1,2022-03-25
234,cellular,918,3,158,618,,no,1,2022-05-02
235,telephone,29,2,202,295,,no,1,2022-09-28
236,telephone,754,6,541,189,,yes,1,2022-09-16
237,telephone,310,3,766,426,1.0,yes,1,2022-09-16
238,cellular,555,1,899,806,,yes,1,2022-05-14
239,telephone,662,5,812,409,,no,1,2022-03-02
240,telephone,28,5,878,189,,no,1,2022-03-16
241,telephone,427,5,726,8,,no,1,2022-03-20
242,cellular,40,3,442,335,1.0,no,1,2022-09-16
243,cellular,279,4,588,371,,no,1,2022-03-23
244,telephone,267,6,698,706,1.0,yes,1,2022-03-25
245,cellular,277,2,359,982,0.0,no,1,2022-09-03
246,telephone,922,5,665,736,0.0,yes,1,2022-03-29
247,telephone,593,5,761,702,,yes,1,2022-05-30
248,cellular,224,1,283,832,,yes,1,2022-03-24
249,cellular,395,9,453,842,,no,1,2022-09-09
250,telephone,473,4,676,52,0.0,no,1,2022-09-17
251,cellular,755,9,148,836,0.0,no,1,2022-09-22
252,cellular,640,5,188,150,1.0,no,1,2022-05-17
253,cellular,803,4,295,863,1.0,no,1,2022-03-09
254,telephone,697,8,119,194,0.0,yes,1,2022-03-18
255,telephone,927,1,19,131,0.0,yes,1,2022-03-05
256,cellular,628,7,705,687,0.0,yes,1,2022-03-22
257,telephone,391,4,450,380,0.0,no,1,2022-05-21
258,cellular,243,9,873,339,0.0,no,1,2022-05-26
259,cellular,427,3,882,875,0.0,yes,1,2022-05-20
260,telephone,863,8,764,841,1.0,yes,1,2022-09-04
261,cellular,300,1,878,481,0.0,yes,1,2022-05-03
262,cellular,248,3,865,41,0.0,no,1,2022-03-03
263,cellular,827,2,171,381,,yes,1,2022-05-22
264,telephone,989,7,211,16,0.0,no,1,2022-05-15
265,telephone,61,6,882,36,0.0,yes,1,2022-05-12
266,cellular,140,5,213,613,1.0,yes,1,2022-05-13
267,telephone,664,8,731,210,,no,1,2022-09-06
268,telephone,555,8,235,97,,no,1,2022-03-15
269,cellular,570,7,151,879,,no,1,2022-03-22
270,cellular,667,8,809,343,1.0,yes,1,2022-09-03
271,cellular,604,4,956,536,0.0,yes,1,2022-05-04
272,cellular,963,4,691,312,1.0,no,1,2022-05-11
273,cellular,763,3,608,867,,no,1,2022-05-21
274,cellular,52,9,336,661,1.0,no,1,2022-03-21
275,cellular,308,6,638,949,0.0,yes,1,2022-03-14
276,telephone,802,8,489,963,0.0,yes,1,2022-03-04
277,telephone,730,6,169,410,,yes,1,2022-03-30
278,telephone,315,2,266,868,1.0,no,1,2022-09-19
279,telephone,658,5,214,826,,no,1,2022-03-03
280,cellular,92,8,870,568,0.0,yes,1,2022-09-22
281,cellular,339,1,86,176,0.0,yes,1,2022-05-09
282,cellular,494,6,218,774,0.0,no,1,2022-09-24
283,telephone,139,4,916,315,,no,1,2022-05-26
284,telephone,398,6,319,167,0.0,yes,1,2022-09-12
285,cellular,930,2,318,210,,yes,1,2022-05-26
286,telephone,477,2,538,840,0.0,no,1,2022-05-02
287,cellular,441,7,601,450,,yes,1,2022-09-20
288,cellular,582,4,36,359,,no,1,2022-09-02
289,telephone,76,7,514,101,0.0,no,1,2022-09-25
290,cellular,430,6,480,131,,yes,1,2022-09-30
291,telephone,848,7,818,993,1.0,yes,1,2022-05-11
292,cellular,880,5,750,734,,no,1,2022-09-17
293,telephone,10,6,917,536,1.0,no,1,2022-05-25
294,cellular,68,1,334,928,0.0,yes,1,2022-05-06
295,cellular,384,6,515,206,,no,1,2022-03-17
296,cellular,792,7,464,517,1.0,no,1,2022-05-13
297,telephone,533,9,775,452,1.0,yes,1,2022-03-10
298,cellular,849,5,694,529,,yes,1,2022-05-10
299,telephone,199,9,713,396,1.0,no,1,2022-03-20
300,cellular,547,2,686,371,0.0,no,1,2022-03-30
301,telephone,212,6,630,563,,yes,1,2022-03-26
302,telephone,474,8,811,395,1.0,no,1,2022-09-07
303,telephone,113,7,172,21,0.0,yes,1,2022-05-18
304,telephone,639,6,564,617,,yes,1,2022-03-15
305,cellular,971,8,656,345,0.0,no,1,2022-03-14
306,cellular,927,2,971,264,1.0,yes,1,2022-05-20
307,cellular,113,9,916,90,1.0,no,1,2022-05-04
308,cellular,13,7,700,342,0.0,no,1,2022-05-11
309,telephone,746,2,576,668,0.0,no,1,2022-03-06
310,telephone,797,6,761,668,,no,1,2022-03-18
311,cellular,55,4,409,58,0.0,yes,1,2022-03-17
312,telephone,264,2,648,893,1.0,yes,1,2022-09-19
313,telephone,918,1,509,140,,no,1,2022-03-05
314,cellular,403,3,292,416,1.0,yes,1,2022-09-14
315,cellular,327,1,747,209,0.0,no,1,2022-05-01
316,cellular,575,7,764,268,1.0,yes,1,2022-05-25
317,telephone,181,4,361,504,1.0,no,1,2022-09-11
318,cellular,271,1,801,628,0.0,yes,1,2022-05-03
319,cellular,145,7,405,433,1.0,yes,1,2022-05-09
320,telephone,776,7,370,351,1.0,no,1,2022-05-02
321,telephone,979,8,449,547,1.0,yes,1,2022-09-23
322,telephone,548,4,108,67,1.0,no,1,2022-05-12
323,telephone,30,6,256,177,1.0,yes,1,2022-05-05
324,telephone,574,1,606,663,0.0,no,1,2022-03-09
325,cellular,608,9,684,539,1.0,yes,1,2022-03-05
326,cellular,207,4,294,922,0.0,no,1,2022-09-20
327,telephone,740,7,402,543,,yes,1,2022-03-22
328,telephone,134,6,504,231,,no,1,2022-03-11
329,cellular,389,4,422,532,1.0,no,1,2022-09-18
330,cellular,87,5,345,335,0.0,yes,1,2022-03-14
331,telephone,546,2,281,169,1.0,yes,1,2022-05-30
332,cellular,523,7,49,11,,yes,1,2022-05-15
333,cellular,592,9,265,63,,no,1,2022-03-10
334,cellular,785,8,941,267,0.0,yes,1,2022-05-26
335,cellular,565,6,470,101,0.0,no,1,2022-05-10
336,cellular,650,5,997,790,,yes,1,2022-05-23
337,telephone,767,8,817,585,0.0,no,1,2022-09-09
338,cellular,64,9,807,29,1.0,yes,1,2022-09-28
339,cellular,302,2,579,467,,yes,1,2022-05-01
340,telephone,317,3,107,260,1.0,no,1,2022-05-29
341,cellular,338,5,433,516,0.0,yes,1,2022-09-03
342,telephone,941,6,570,564,0.0,no,1,2022-09-23
343,cellular,735,6,69,995,,yes,1,2022-09-13
344,cellular,382,2,889,550,1.0,no,1,2022-05-21
345,cellular,10,2,490,356,,no,1,2022-09-02
346,telephone,378,7,813,34,,yes,1,2022-09-06
347,telephone,661,5,748,894,1.0,yes,1,2022-03-23
348,cellular,742,4,386,999,1.0,yes,1,2022-03-16
349,cellular,845,8,716,433,0.0,no,1,2022-03-06
350,telephone,587,2,148,331,,yes,1,2022-03-19
351,cellular,58,5,516,28,,yes,1,2022-05-25
352,telephone,833,3,858,912,0.0,no,1,2022-05-16
353,cellular,185,6,609,404,,yes,1,2022-05-25
354,cellular,136,2,48,142,1.0,no,1,2022-03-28
355,telephone,301,3,662,285,0.0,no,1,2022-05-30
356,cellular,364,9,470,350,,yes,1,2022-03-11
357,cellular,319,5,467,784,0.0,no,1,2022-05-13
358,telephone,650,7,10,870,,no,1,2022-09-13
359,cellular,653,7,79,831,0.0,yes,1,2022-03-27
360,cellular,645,5,247,274,0.0,yes,1,2022-09-23
361,telephone,266,1,398,360,1.0,yes,1,2022-05-08
362,telephone,917,8,310,476,1.0,no,1,2022-05-03
363,telephone,694,9,371,19,0.0,yes,1,2022-09-18
364,cellular,130,2,316,592,0.0,no,1,2022-05-10
365,telephone,907,4,261,515,0.0,yes,1,2022-09-11
366,cellular,813,1,454,883,0.0,yes,1,2022-09-26
367,telephone,423,2,593,702,0.0,yes,1,2022-09-04
368,telephone,957,8,645,648,1.0,yes,1,2022-03-26
369,cellular,707,8,113,784,1.0,no,1,2022-05-22
370,cellular,101,5,844,446,1.0,yes,1,2022-05-27
371,telephone,183,8,104,84,1.0,no,1,2022-03-23
372,cellular,651,8,530,517,1.0,yes,1,2022-09-05
373,cellular,664,5,331,24,0.0,yes,1,2022-05-18
374,cellular,602,4,734,989,1.0,yes,1,2022-05-29
375,telephone,608,1,336,670,0.0,yes,1,2022-09-25
376,telephone,597,2,133,160,1.0,yes,1,2022-05-27
377,telephone,644,4,356,933,,no,1,2022-05-23
378,cellular,327,6,630,144,1.0,yes,1,2022-09-29
379,cellular,591,6,647,135,0.0,yes,1,2022-03-04
380,cellular,256,5,648,577,0.0,no,1,2022-05-15
381,cellular,597,2,775,313,1.0,no,1,2022-09-07
382,telephone,904,3,48,55,1.0,yes,1,2022-05-16
383,telephone,815,4,379,198,1.0,no,1,2022-05-07
384,telephone,652,1,334,797,,no,1,2022-03-16
385,telephone,295,5,33,856,0.0,no,1,2022-05-15
386,cellular,283,4,427,402,1.0,yes,1,2022-03-12
387,cellular,520,1,338,750,1.0,no,1,2022-09-23
388,telephone,622,6,926,683,1.0,yes,1,2022-05-12
389,telephone,926,7,671,732,1.0,no,1,2022-05-28
390,cellular,919,8,76,182,,yes,1,2022-05-25
391,telephone,469,3,418,867,,yes,1,2022-03-04
392,cellular,294,5,292,708,,yes,1,2022-09-14
393,cellular,751,6,704,596,0.0,yes,1,2022-09-26
394,cellular,773,4,747,923,,yes,1,2022-09-30
395,cellular,756,8,652,606,0.0,yes,1,2022-03-16
396,cellular,805,1,836,641,1.0,no,1,2022-09-07
397,cellular,752,2,469,9,,no,1,2022-09-30
398,telephone,205,2,598,555,0.0,yes,1,2022-03-23
399,cellular,745,6,542,374,1.0,yes,1,2022-03-01
400,cellular,352,7,948,458,,yes,1,2022-09-07
401,telephone,638,8,471,594,,no,1,2022-09-24
402,telephone,111,1,167,938,,yes,1,2022-09-01
403,telephone,368,6,999,319,0.0,yes,1,2022-05-10
404,telephone,632,3,17,288,,yes,1,2022-05-23
405,cellular,120,7,881,596,0.0,yes,1,2022-03-28
406,cellular,986,5,52,239,,no,1,2022-09-26
407,cellular,498,3,259,429,0.0,no,1,2022-03-19
408,cellular,794,5,83,200,,yes,1,2022-09-22
409,cellular,238,3,268,96,0.0,yes,1,2022-09-29
410,cellular,885,7,810,770,,no,1,2022-03-25
411,cellular,513,4,517,488,1.0,no,1,2022-09-13
412,telephone,995,8,513,815,,yes,1,2022-03-16
413,telephone,67,7,878,518,1.0,yes,1,2022-05-02
414,telephone,652,8,945,82,,no,1,2022-09-30
415,cellular,684,9,789,602,,yes,1,2022-05-24
416,telephone,183,1,469,689,0.0,yes,1,2022-05-08
417,telephone,461,6,601,207,,no,1,2022-03-22
418,cellular,638,2,898,902,1.0,no,1,2022-03-02
419,cellular,841,2,900,945,0.0,no,1,2022-03-14
420,telephone,128,6,260,931,,yes,1,2022-09-19
421,telephone,866,3,820,530,0.0,no,1,2022-05-04
422,telephone,620,9,240,802,1.0,no,1,2022-05-05
423,cellular,632,9,589,267,,no,1,2022-09-08
424,telephone,986,3,757,244,1.0,no,1,2022-09-06
425,cellular,284,8,4,288,0.0,no,1,2022-09-28
426,telephone,681,4,305,439,1.0,no,1,2022-09-15
427,telephone,670,6,987,822,1.0,no,1,2022-09-02
428,telephone,716,5,576,446,0.0,no,1,2022-03-20
429,cellular,517,8,810,556,0.0,yes,1,2022-09-05
430,cellular,474,8,627,996,,no,1,2022-05-17
431,cellular,903,8,938,909,,no,1,2022-09-30
432,cellular,206,3,726,853,0.0,no,1,2022-05-26
433,cellular,897,3,925,372,0.0,yes,1,2022-03-04
434,telephone,499,5,170,483,0.0,yes,1,2022-09-26
435,cellular,207,6,759,733,0.0,no,1,2022-03-07
436,telephone,332,3,525,436,,yes,1,2022-09-01
437,cellular,259,2,796,285,0.0,yes,1,2022-09-16
438,cellular,269,8,108,758,0.0,no,1,2022-05-10
439,telephone,758,9,320,697,,yes,1,2022-09-27
440,cellular,154,6,675,909,1.0,no,1,2022-09-13
