id,age,job,marital,education,credit_default,housing,loan
1,95,admin,single,basic_4y,no,unknown,unknown
2,22,unemployed,married,basic_9y,no,unknown,yes
3,97,unemployed,married,basic_4y,unknown,unknown,no
4,69,unknown,unknown,basic_4y,yes,unknown,yes
5,34,blue-collar,unknown,basic_4y,no,unknown,unknown
6,77,admin,married,basic_9y,no,yes,yes
7,31,unemployed,single,basic_4y,no,yes,unknown
8,71,blue-collar,unknown,basic_4y,unknown,unknown,yes
9,46,admin,single,,unknown,unknown,no
10,43,blue-collar,unknown,basic_4y,no,unknown,no
11,36,admin,married,basic_4y,yes,no,unknown
12,98,blue-collar,unknown,basic_4y,yes,unknown,no
13,83,admin,married,,unknown,yes,no
14,59,unemployed,unknown,basic_9y,no,no,unknown
15,98,admin,married,,no,no,yes
16,99,admin,married,basic_9y,no,unknown,yes
17,44,unemployed,single,,no,no,no
18,42,blue-collar,married,,yes,unknown,no
19,69,blue-collar,single,basic_9y,no,unknown,unknown
20,32,blue-collar,married,basic_9y,unknown,yes,unknown
21,29,unemployed,married,basic_4y,unknown,yes,no
22,22,unemployed,unknown,,no,yes,unknown
23,86,unknown,single,basic_4y,unknown,unknown,unknown
24,88,unknown,married,basic_9y,no,no,yes
25,37,blue-collar,unknown,basic_4y,unknown,unknown,unknown
26,84,unemployed,single,basic_9y,yes,yes,yes
27,38,admin,married,basic_9y,unknown,unknown,unknown
28,45,unemployed,single,basic_4y,unknown,no,unknown
29,97,admin,married,basic_4y,no,no,no
30,73,unemployed,single,,no,unknown,no
31,96,admin,single,basic_9y,yes,unknown,unknown
32,64,admin,single,basic_9y,unknown,yes,unknown
33,27,unemployed,married,basic_9y,no,unknown,no
34,40,admin,married,,unknown,yes,no
35,97,admin,single,basic_4y,yes,no,no
36,64,unknown,single,basic_9y,no,yes,unknown
37,73,unemployed,single,basic_9y,unknown,no,unknown
38,51,blue-collar,single,basic_9y,unknown,unknown,unknown
39,40,blue-collar,married,basic_4y,unknown,no,yes
40,93,unemployed,single,,no,no,unknown
41,33,unemployed,married,basic_4y,unknown,no,no
42,65,admin,single,basic_9y,unknown,no,no
43,45,unemployed,married,basic_4y,yes,no,unknown
44,43,admin,single,basic_9y,no,unknown,unknown
45,23,unemployed,married,,unknown,no,yes
46,30,unknown,unknown,,no,no,yes
47,39,admin,married,basic_4y,yes,yes,yes
48,70,unemployed,single,,yes,unknown,no
49,42,blue-collar,single,basic_9y,no,yes,yes
50,44,unknown,unknown,basic_4y,unknown,unknown,no
51,43,blue-collar,married,,no,no,no
52,81,unknown,single,basic_4y,yes,no,unknown
53,44,admin,unknown,basic_9y,unknown,no,unknown
54,79,blue-collar,married,,yes,no,yes
